Assignment,Due-Date,Comment
M1_Challenge,18-JAN-22,Complete all assigned challenges
M1_ZyLabs,18-Jan-22,Complete all assigned labs
M2_Challenge,08-FEB-22,Complete all assigned challenges
M2_ZyLabs,08-FEB-22,Complete all assigned labs
M3_Challenge,18-FEB-22,Complete all assigned challenges
M3_ZyLabs,18-FEB-22,Complete all assigned labs
M4_Challenge,22-FEB-22,Complete all assigned challenges
M4_ZyLabs,22-FEB-22,Complete all assigned labs
M5_Challenge,08-MAR-22,Complete all assigned challenges
M5_ZyLabs,08-MAR-22,Complete all assigned labs
M6_Challenge,23-MAR-22,Complete all assigned challenges
M6_ZyLabs,23-MAR-22,Complete all assigned labs
M7_Challenge,05-APR-22,Complete all assigned challenges
M7_ZyLabs,18-APR-22,Complete all assigned labs
M8_Challenge,28-APR-22,Complete all assigned challenges
M8_ZyLabs,08-MAR-22,Complete all assigned labs
