Assignment,Due-Date,Comment
M1HW1,20-JAN-22,Census Quiz
M1HW2,23-JAN-22,GitHub
M1HW3,23-JAN-22,Project Proposal
M2HW1,30-JAN-22,Total Sales
M2HW2,06-FEB-22,Age
M2HW3,13-FEB-22,Text Adventure 1
M3HW1,20-FEB-22,Random Number File Writer		
M3HW2,27-FEB-22,Random Number File Reader		
M3HW3,27-FEB-22,Text Adventure 2
M4HW1,06-MAR-22,RetailPrice Calculator	
M4HW2,13-MAR-22,Falling Distance
M4HW3,20-MAR-22,Text Adventure 3
M5HW1,03-APR-22,Pet Class
M5HW2,10-APR-22,Employee Class
M5HW3,17-APR-22,Text Adventure 4
M6HW1,01-MAY-22,Person and Customer Classes		
M6HW2,08-MAY-22,PreferredCustomer Class
M6HW3,08-MAY-22,GitHub Complete
M6HW4,08-MAY-22,Text Adventure 5
